rotten_tomatoes_link,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count
m/1003758-cat_people,Cat People,"In this sensual and violent horror tale, Irena Gallier (Nastassia Kinski) has a dark family secret, one that resurfaces dramatically when she reconnects with her estranged brother, Paul (Malcolm McDowell). Living with her sibling in New Orleans, Irena finds herself enamored with zoologist Oliver Yates (John Heard), even as her brother makes his own advances toward her. It's not long before the dark and dangerous curse of the Gallier clan rears its feline head.","Paul Schrader's kinky reimagining of Cat People may prove too grisly and lurid for some audiences, but its provocative style and Natassja Kinski's hypnotic performance should please viewers who like a little gasoline with their fire.",R,"Drama, Horror, Mystery & Suspense",Paul Schrader,"Alan Ormsby, Paul Schrader, DeWitt Bodeen, Walter Halsey Davis","Nastassja Kinski, Malcolm McDowell, John Heard, Annette O'Toole, Ed Begley Jr., Scott Paulin, Frankie Faison, Ron Diamond, Lynn Lowry, John Larroquette, Ruby Dee, Tessa Richarde, Patricia Perkins, Berry Berenson, Fausto Barajas, John H. Fields, Emery Hollier, Stephen Marshall, Stephen Marshal, Robert Pavlovitch, Robert Pavlovich, Julie Denney, Marco St. John, Arione De Winter, Francine Segal, Roger E. Reid, Terc Martinez, Don Hood, David Showacre, Neva Gage, David Ross McCarty, Ray Wise, Marisa Folse, James Deeth, Danelle Hand, John C. Isbell, JoAnn Dearing, Brett Alexander, David Blackwell, The Black Pope, Charles Joseph Konya Jr., Harry Hauss, Gregory Gatto",4/2/1982,9/11/2015,118,Universal Pictures,Fresh,61,46,Spilled,46,10352,7,28,18
m/1004906-creature_from_the_black_lagoon,Creature from the Black Lagoon,"Remnants of a mysterious animal have come to light in a remote jungle, and a group of scientists intends to determine if the find is an anomaly or evidence of an undiscovered beast. To accomplish their goal, the scientists (Antonio Moreno, Richard Carlson, Richard Denning, Whit Bissell) must brave the most perilous pieces of land South America has to offer. But the terrain is nothing compared to the danger posed by an otherworldly being that endangers their work and their lives.","A solid, atmospheric creature feature that entertains without attempting to be deeper than it needs.",G,"Classics, Cult Movies, Horror, Science Fiction & Fantasy",Jack Arnold,"Arthur Ross, Harry Essex, Harry J. Essex","Richard Carlson, Julie Adams, Richard Denning, Antonio Moreno, Nestor Paiva, Whit Bissell, Ben Chapman, Henry Escalante, Bernie Gozier, Ricou Browning, Sydney Mason, Julio Lopez, Perry Lopez, Rodd Redwing, Syd Mason",3/5/1954,9/11/2015,79,Universal Pictures,Certified-Fresh,79,42,Upright,73,23626,5,33,9
m/1005242-dark_mirror,The Dark Mirror,"After a doctor is murdered, Lt. Stevenson (Thomas Mitchell) questions the man's girlfriend, Terry Collins (Olivia de Havilland). Sensing that she's keeping a secret, Stevenson confronts Terry in her home, where he meets her identical twin sister, Ruth (also de Havilland). Both women appear exactly alike, sometimes even posing as each other. However, when twin expert Dr. Elliott (Lew Ayres) analyzes the sisters, he finds that one twin is normal, while the other is psychotic -- but which one?",,NR,"Drama, Mystery & Suspense",Robert Siodmak,Nunnally Johnson,"Olivia de Havilland, Lew Ayres, Thomas Mitchell, Richard Long, Charles Evans, Garry Owen, Lester Allen, Lela Bliss, Marta Mitrovich, Amelita Ward, William Halligan, Ida Moore, Charles McAvoy, Jack Cheatham, Barbara Powers, Ralph Peters, Rodney Bell, Lane Watson, Ben Erway, Jean Andren, Jack Gargan, Lane Chandler",10/18/1946,3/10/2017,85,Universal,Fresh,71,7,Spilled,56,318,1,5,2
m/1006234-dracula,Dracula,"The dashing, mysterious Count Dracula (Bela Lugosi), after hypnotizing a British soldier, Renfield (Dwight Frye), into his mindless slave, travels to London and takes up residence in an old castle. Soon Dracula begins to wreak havoc, sucking the blood of young women and turning them into vampires. When he sets his sights on Mina (Helen Chandler), the daughter of a prominent doctor, vampire-hunter Van Helsing (Edward Van Sloan) is enlisted to put a stop to the count's never-ending bloodlust.",Bela Lugosi's timeless portrayal of Dracula in this creepy and atmospheric 1931 film has set the standard for major vampiric roles since.,NR,"Classics, Horror",Tod Browning,Garrett Elsden Fort,"Bela Lugosi, Helen Chandler, David Manners, Dwight Frye, Edward Van Sloan, Herbert Bunston, Frances Dade, Charles Gerrard, Joan Standing, Moon Carroll, Josephine Velez, Lupita Tovar, Donald Murphy, Daisy Belmore, Pablo Álvarez Rubio, Tina Sáinz, Nicholas Bela, Michael Visaroff, Eduardo Arozamena, Carla Laemmle, Garrett Fort, Dorothy Tree, Manuel Arbo, Jeraldine Dvorak, Barry Norton, Mildred Peirce, John George, Carmen Guerrero, George Hill Mailes",1/1/1931,2/12/2014,75,Universal Pictures,Certified-Fresh,92,48,Upright,81,44775,7,44,4
m/1006236-dracula,Dracula,"A man washes ashore in England after a shipwreck and is found by Mina Van Helsing (Jan Francis). The man introduces himself as Count Dracula (Frank Langella) of Transylvania, and proceeds to integrate himself into the lives of Mina and her friend Lucy Seward (Kate Nelligan). However, when Mina dies and her father, Prof. Van Helsing (Laurence Olivier), attributes her death to a vampire, evidence indicates that Count Dracula is the monster, and Lucy is his next target.",,R,"Art House & International, Drama, Horror, Romance",John Badham,W.D. Richter,"Frank Langella, Donald Pleasence, Kate Nelligan, Laurence Olivier, Trevor Eve, Jan Francis, Tony Haygarth, Janine Duvitski, Teddy Turner, Kristine Howarth, Kristine Howatih, Joe Belcher, Ted Carroll, Frank Birch, Gabor Vernon, Frank Henson, Sylvester McCoy, Peter Wallis",7/20/1979,2/12/2014,109,Universal Studios,Rotten,59,17,Spilled,58,9776,1,10,7
m/1006250-dragnet,Dragnet,"No-nonsense Los Angeles detective Sgt. Joe Friday (Dan Aykroyd) is partnered with the wisecracking Pep Streebeck (Tom Hanks), a hip upstart cop, and the mismatched duo is ordered to investigate a strange series of ritual killings. Though Friday and Pep do their share of quarreling, they eventually trace the clues to an ominous cult, and the officers interrupt a violent ceremony. Friday then begins a romance with near-victim Connie Swail (Alexandra Paul), but it could hinder his police work.","While it's sporadically funny and certainly well-cast, Dragnet is too clumsy and inconsistent to honor its classic source material.",PG-13,"Action & Adventure, Comedy",Tom Mankiewicz,"Dan Aykroyd, Alan Zweibel, Tom Mankiewicz","Dan Aykroyd, Tom Hanks, Christopher Plummer, Harry Morgan, Alexandra Paul, Jack O'Halloran, Elizabeth Ashley, Dabney Coleman, Kathleen Freeman, Bruce Gray, Lenka Peterson, Julia Jennings, Lisa Aliff, Joe Altmark, Fred Asparagus, Peter Aykroyd, Nina Arvesen, Jim Boeke, Donald Craig, Gray Daniels, Gary Lee Davis, Sandra Eng, Ava Fabian, Kimberly Foster, Ruben Garfias, Chester Grimes, Bert Hinchman, D.D. Howard, Peter Leeds, Margaret Lenzey, Christopher Mankiewicz, Maurice Marsac, Stuart Quan, Casey Sander, Ray Sharkey, Bill Wittman, Meg Wyllie, Josh Cruze, Jimmie F. Skaggs, Dona Speir, Sydney Urshan",,2/10/2016,106,MCA Universal Home Video,Rotten,51,35,Spilled,41,35175,8,18,17
m/1006287-dream_team,The Dream Team,"Psychiatrist Dr. Weitzman (Dennis Boutsikaris) takes four mental patients on an outing to Yankee Stadium. Billy (Michael Keaton) is a nihilistic author, Henry (Christopher Lloyd) lost his bearings while working as a mailman, Jack (Peter Boyle) thinks he is the world's scapegoat and the childlike Albert (Stephen Furst) is obsessed with baseball broadcasts. When two corrupt cops incapacitate Dr. Weitzman, the four troubled men must fend for themselves amid the lunacy of New York City.",,PG-13,Comedy,Howard Zieff,"Jon Connolly, David Loucka, John Connolly","Michael Keaton, Christopher Lloyd, Peter Boyle, Stephen Furst, Dennis Boutsikaris, Lorraine Bracco, Milo O'Shea, Philip Bosco, James Remar, Jack Gilpin, Macintyre Dixon, Michael Lembeck, J.R. Zimmerman, Maxine Miller, Kay Hawtry, Patricia Idlette, Ellen Maguire, John Liddle, Frierson Family Singers, Dwayne McLean, Chick Roberts, Nicholas Pasco, Jack Duffy, Brad Sullivan, Larry Pine, Kenneth Raybourne, Alphonsus E. Platt, Harold Surratt, Robert Weil, Janet Feindel, Tico Wells, Ted Simonett, Barry Flatman, Bruce Hunter, John Stocker, Lizbeth MacKay, Olivia Horton, Richard Fitzpatrick, Jack Jessop, Ron James, Wayne Tippit, Dennis Parlato, Eric Fink, Freda Foh Shen, A. Frank Ruffo, Michael Copeman, Donna Hanover, Victor Ertmanis, Greg Beresford, Cynthia Belliveau, Stewart Bick, James O'Regan, Dick Callahan, Shelley Goldstein, Jihmi Kennedy, Marty Waldman, Michelyn Emelle, Michael Beatty, Jane Luk, Marilyn Peppiatt, Myra Fried, Max Haines, Henry Gomez, Al Therrien, Don Saunders, Patricia Carroll Brown",4/7/1989,1/24/2016,113,MCA Universal Home Video,Rotten,57,14,Upright,61,8275,1,8,6
m/1006345-duel,Duel,"David Mann (Dennis Weaver), a mild mannered electronics salesman, is driving cross-country on a two-lane highway when he encounters an old oil tanker driven by an unseen driver who seems to enjoy annoying him with dangerous antics on the road. Unable to escape the demonic big rig, David finds himself in a dangerous game of cat and mouse with the monstrous truck. When the pursuit escalates to deadly levels, David must summon his inner warrior and turn the tables on his tormentor.","Duel makes brilliant use of its simple premise, serving up rock-solid genre thrills while heralding the arrival of a generational talent behind the lens.",PG,"Mystery & Suspense, Television",Steven Spielberg,Richard Matheson,"Dennis Weaver, Tim Herbert, Charles Seel, Jacqueline Scott, Eddie Firestone, Shirley O'Hara, Lou Frizzell, Lucille Benson, Shirley O'Hara Krims, Gene Dynarski, Alexander Lockwood, Amy Douglass, Dick Whittington, Cary Loftin, Carey Loftin, Dale Van Sickle, Dale Van Sickel",1/1/1972,1/1/2015,95,Universal Pictures,Fresh,88,41,Upright,84,35530,4,36,5
m/1006364-dune,Dune,"In the year 10191, a spice called melange is the most valuable substance known in the universe, and its only source is the desert planet Arrakis. A royal decree awards Arrakis to Duke Leto Atreides and ousts his bitter enemies, the Harkonnens. However, when the Harkonnens violently seize back their fiefdom, it is up to Paul (Kyle MacLachlan), Leto's son, to lead the Fremen, the natives of Arrakis, in a battle for control of the planet and its spice. Based on Frank Herbert's epic novel.","This truncated adaptation of Frank Herbert's sci-fi masterwork is too dry to work as grand entertainment, but David Lynch's flair for the surreal gives it some spice.",PG-13,Science Fiction & Fantasy,David Lynch,,"Francesca Annis, José Ferrer, Leonardo Cimino, Brad Dourif, Kyle MacLachlan, Patrick Stewart, Sting, Dean Stockwell, Linda Hunt, Freddie Jones, Richard Jordan, Virginia Madsen, Silvana Mangano, Everett McGill, Kenneth McMillan, Jack Nance, Sian Phillips, Jürgen Prochnow, Paul L. Smith, Max von Sydow, Alicia Witt, Sean Young, Danny Corkill, Judd Omen",12/14/1984,10/1/2014,137,MCA Universal Home Video,Rotten,53,49,Upright,66,70912,9,26,23
m/1007003-fahrenheit_451,Fahrenheit 451,Adaptation of the Ray Bradbury novel about a future society that has banned all reading material and the job of the firemen is to keep the fires at 451 degrees: the temperature that paper burns. A fireman begins to re-think his job when he meets a book-loving girl.,Fahrenheit 451 is an intriguing film that suffuses Truffaut's trademark wit and black humor with the intelligence and morality of Ray Bradbury's novel.,NR,"Classics, Science Fiction & Fantasy",François Truffaut,"François Truffaut, Jean-Louis Richard, Helen Scott, David Rudkin","Oskar Werner, Julie Christie, Cyril Cusack, Anton Diffring, Ann Bell, Caroline Hunt, Anna Palk, Jeremy Spenser, Bee Duffell, Gillian Lewis, Roma Milne, Alex Scott, Denis Gilmore, Michael Balfour, Judith Drynan, David Glover, Yvonne Blake, Hermiston, John Rae, Gillian Aldam, Arthur Cox, Eric Mason, Noel Davis, Donald Pickering, Michael Mundell, Chris William Martin, Edward Kaye, Mark Lester, Kevin R. Elder, Joan Francis, Tom Watson, Fred Cox, Earl Younger, Frank Cox",11/2/1966,10/1/2014,112,Universal Pictures,Fresh,81,36,Upright,72,25738,5,29,7
m/1007517-flash_gordon,Flash Gordon,"Although NASA scientists are claiming the unexpected eclipse and strange ""hot hail"" are nothing to worry about, Dr. Hans Zarkov (Topol) knows better, and takes football star Flash Gordon (Sam Jones) and travel agent Dale Arden (Melody Anderson) with him into space to rectify things. They land on planet Mongo, where the despot Ming the Merciless (Max von Sydow) is attacking Earth out of pure boredom. With the help of a race of Hawkmen, Flash and the gang struggle to save their home planet.","Campy charm and a knowing sense of humor help to overcome a silly plot involving a spacefaring ex-football player, his adoring bevy of groupies, and a supervillain named Ming the Merciless.",PG,"Action & Adventure, Comedy, Science Fiction & Fantasy",Mike Hodges,"Lorenzo Semple Jr., Michael Allin","Sam J. Jones, Melody Anderson, Topol, Max von Sydow, Ornella Muti, Timothy Dalton, Brian Blessed, Peter Wyngarde, Mariangela Melato, John Osborne, Richard O'Brien, John Hallam, Philip Stone, Suzanne Danielle, William Hootkins, Bobbie Brown, Ted Carroll, Adrienne Kronenberg, Irene Champlin, Stanley Lebor, John Morton, Burnell Tucker, Robbie Coltrane, Peter Duncan, Michael Edmonds, Ken Sicklen, Tessa, Venetia Spicer, Francis Mugham, Paul Bentall, John Hollis, Tony Scannell, Leon Greene, Graeme Crowther, Oliver MacGreevy, David Neal, Deep Roy, Sally Nicholson, Doretta Dunkler, Colin Taylor, George Harris, Miranda Riley, Andrew Bradford, Ken Roberson, Terry Forrestal, Michael Potter, John E. Sullivan, John Lees, Eddie Stacey, John Sullivan, Roy Scammell, Robert Goody, Peter S. James, Steven Payne, Daniel Venn, Anthony Olivier, Stephen Calcutt, Nigel Jeffcoat, Jim Carter, Trevor Ward, Alva Shelley, Joe Iles, Glen Whittier, Leonard Hay, Jamalia, Sunanka, Jil Lamb, Karen Johnson, Kathy Marquis, Kathy September, Sophie, Glenna Forster-Jones, Lorraine Paul, Carolyn Evans, Celeste, Tina Thomas, Racquel, Fai, Gina, Eddie Powell, Chris Webb, John Gallant, Leslie Crawford, Peter Brace, Terry Richards, Kenny Baker, Malcolm Dixon, Mike Edmonds, Tiny Ross, John Ghavan, Rusty Goffe, Mike Cottrell, Peter Burrows, Richard Jones, John Lummis, Michelle Mildwater, Marie Green, Imogen Claire, Kay Zimmerman, Ken Robertson, Frederick Warder, Lionel Guyett, Queen",12/5/1980,6/15/2012,110,Universal Pictures,Certified-Fresh,83,48,Upright,69,46719,7,40,8
